标签类型,一级标签
预测性别,女
预测性别,男
预测年龄,"[18,24]"
预测年龄,"[25,29]"
预测年龄,"[30,34]"
预测年龄,"[35,39]"
预测年龄,"[40,44]"
预测年龄,"[45,49]"
预测年龄,"[50,54]"
预测年龄,"[55,59]"
预测年龄,>=60
预测城市等级,1
预测城市等级,2
预测城市等级,3
预测城市等级,4
预测城市等级,5
预测城市等级,6
婚恋阶段,已婚已育
婚恋阶段,已婚未育
婚恋阶段,筹备婚礼
婚恋阶段,恋爱
婚恋阶段,单身
预测子女年龄新版（原母婴育龄人群）,[2-3)岁
预测子女年龄新版（原母婴育龄人群）,[15-18)岁
预测子女年龄新版（原母婴育龄人群）,[6-9)岁
预测子女年龄新版（原母婴育龄人群）,[3-6)岁
预测子女年龄新版（原母婴育龄人群）,[12-15)岁
预测子女年龄新版（原母婴育龄人群）,[9-12)岁
预测子女年龄新版（原母婴育龄人群）,备孕中
预测子女年龄新版（原母婴育龄人群）,[1-2)岁
预测子女年龄新版（原母婴育龄人群）,[6-12)月
预测子女年龄新版（原母婴育龄人群）,[3-6)月
预测子女年龄新版（原母婴育龄人群）,[0-3)月
预测子女年龄新版（原母婴育龄人群）,孕晚期
预测子女年龄新版（原母婴育龄人群）,孕中期
预测子女年龄新版（原母婴育龄人群）,孕早期
预测子女年龄,1-3月
预测子女年龄,3-6月
预测子女年龄,6-12月
预测子女年龄,1-2岁
预测子女年龄,2-3岁
预测子女年龄,3-6岁
预测子女年龄,6-9岁
预测子女年龄,9-12岁
预测子女年龄,12-15岁
预测子女年龄,15-18岁
预测使用的手机品牌,Apple/苹果
预测使用的手机品牌,Huawei/华为
预测使用的手机品牌,honor/荣耀
预测使用的手机品牌,vivo
预测使用的手机品牌,MIUI/小米
预测使用的手机品牌,OPPO
预测使用的手机品牌,Samsung/三星
预测使用的手机品牌,OnePlus/一加
预测使用的手机品牌,Meizu/魅族
预测使用的手机品牌,Motorola/摩托罗拉
预测使用的手机品牌,nubia/努比亚
预测使用的手机品牌,Sony/索尼
预测职业,个体经营/服务人员
预测职业,公司职员
预测职业,教职工
预测职业,工人
预测职业,农林牧渔从业人员
预测职业,医务人员
预测职业,金融公司职员
预测职业,学生（即将升级，暂不建议使用）
预测职业,科研人员
预测职业,IT公司职员
预测职业,汽车相关服务人员
预测职业,法律公司职员
预测职业,会计公司职员
预测职业,税务公司职员
预测用户星座,天枰座
预测用户星座,天蝎座
预测用户星座,狮子座
预测用户星座,处女座
预测用户星座,摩羯座
预测用户星座,水瓶座
预测用户星座,射手座
预测用户星座,双鱼座
预测用户星座,巨蟹座
预测用户星座,白羊座
预测用户星座,金牛座
预测用户星座,双子座
预测用户身高,"[163,166)"
预测用户身高,"[159,161)"
预测用户身高,"[167,171)"
预测用户身高,"[156,159)"
预测用户身高,"[161,163)"
预测用户身高,"[173,177)"
预测用户身高,>=177
预测用户身高,"[171,173)"
预测用户身高,"[166,167)"
预测用户体重,"[61,66)"
预测用户体重,"[71,76)"
预测用户体重,"[66,71)"
预测用户体重,"[50,53)"
预测用户体重,"[58,61)"
预测用户体重,>=76
预测用户体重,"[46,50)"
预测用户体重,"[53,56)"
预测用户体重,"[56,58)"
预测住房状态,Y
预测住房状态,N
预测家户类型,小镇亲子小康家户
预测家户类型,单身小康家户
预测家户类型,城市亲子富裕家户
预测家户类型,小镇青年富裕家户
预测家户类型,Z-世代家户
预测家户类型,城市亲子小康家户
预测家户类型,银发家户
预测家户类型,亲子中产家户
预测家户类型,高品质家户
预测子女性别,女
预测子女性别,男
预测人生阶段,子女成年期
预测人生阶段,养育期
预测人生阶段,已婚未育期
预测人生阶段,单身期
预测是否有车,是
预测是否有车,否
预测是否在校大学生,是
预测教育程度,高中及以下
预测教育程度,专科
预测教育程度,本科
预测教育程度,硕士
预测教育程度,博士
预测家有老幼,是
预测省份,浙江
预测省份,江苏
预测省份,广东
预测省份,上海
预测省份,北京
预测省份,山东
预测省份,四川
预测省份,湖北
预测省份,辽宁
预测省份,河南
预测省份,安徽
预测省份,河北
预测省份,福建
预测省份,湖南
预测省份,重庆
预测省份,陕西
预测省份,江西
预测省份,山西
预测省份,黑龙江
预测省份,天津
预测省份,吉林
预测省份,云南
预测省份,内蒙古
预测省份,广西
预测省份,贵州
预测省份,新疆
预测省份,甘肃
预测省份,海南
预测省份,宁夏
预测省份,青海
预测省份,西藏
预测省份,香港
预测省份,台湾
下沉市场人群,4~6线城市消费者
下沉市场人群,1~3线城市L1购买力层级消费者
月均消费金额,0-499元
月均消费金额,500-999元
月均消费金额,1000-1499元
月均消费金额,1500-1999元
月均消费金额,2000-2999元
月均消费金额,3000-5999元
月均消费金额,6000-10000元
月均消费金额,10000元以上
折扣敏感度,高
折扣敏感度,中
折扣敏感度,低
天猫通用人群_消费意愿,高端偏好者
天猫通用人群_消费意愿,精致智享者
天猫通用人群_消费意愿,品质实用者
天猫通用人群_消费意愿,基础实用者
天猫通用人群_消费意愿,基础经济者
月均购物频次偏好,0次
月均购物频次偏好,1-2次
月均购物频次偏好,3-5次
月均购物频次偏好,6-10次
月均购物频次偏好,10次及以上
购物时间分布,0-1时
购物时间分布,1-2时
购物时间分布,2-3时
购物时间分布,3-4时
购物时间分布,4-5时
购物时间分布,5-6时
购物时间分布,6-7时
购物时间分布,7-8时
购物时间分布,8-9时
购物时间分布,9-10时
购物时间分布,10-11时
购物时间分布,11-12时
购物时间分布,12-13时
购物时间分布,13-14时
购物时间分布,14-15时
购物时间分布,15-16时
购物时间分布,16-17时
购物时间分布,17-18时
购物时间分布,18-19时
购物时间分布,19-20时
购物时间分布,20-21时
购物时间分布,21-22时
购物时间分布,22-23时
购物时间分布,23-0时
预测购买力,L5
预测购买力,L4
预测购买力,L3
预测购买力,L2
预测购买力,L1
88会员等级,超级会员
常用上网设备,平板
常用上网设备,电脑
常用上网设备,手机
最近30天登录天数,1-3天
最近30天登录天数,4-7天
最近30天登录天数,8-15天
最近30天登录天数,16-30天
兴趣偏好,家庭主妇
兴趣偏好,美丽教主
兴趣偏好,时尚靓妹
兴趣偏好,吃货
兴趣偏好,烹饪达人
兴趣偏好,白富美
兴趣偏好,运动一族
兴趣偏好,数码达人
兴趣偏好,职场办公
兴趣偏好,买鞋控
兴趣偏好,速食客
兴趣偏好,养生专家
兴趣偏好,收纳达人
兴趣偏好,户外一族
兴趣偏好,二手买家
兴趣偏好,爱包人
兴趣偏好,阅读者
兴趣偏好,学霸
兴趣偏好,动漫迷
兴趣偏好,健美一族
兴趣偏好,休闲大咖
兴趣偏好,花卉一族
兴趣偏好,游戏人生
兴趣偏好,有型潮男
兴趣偏好,高富帅
兴趣偏好,酒品人生
兴趣偏好,爱听音乐
兴趣偏好,摄影一族
兴趣偏好,旅行者
兴趣偏好,收藏家
兴趣偏好,绘画家
兴趣偏好,追风骑士
兴趣偏好,乐器迷
兴趣偏好,舞林人士
兴趣偏好,网络一族
兴趣偏好,商家会
兴趣偏好,电影派
兴趣偏好,书法家
兴趣偏好,果粉
预测世界杯兴趣,高
预测世界杯兴趣,中
预测世界杯兴趣,低
天猫通用人群_生活方式,爱美族
天猫通用人群_生活方式,运动达人
天猫通用人群_生活方式,宝妈人群
天猫通用人群_生活方式,数码玩家
天猫通用人群_生活方式,养身保健族
天猫通用人群_生活方式,电器生活家
天猫通用人群_生活方式,乐宠人群
天猫通用人群_生活方式,悦己者
