标签类型,一级标签值
预测性别,男
预测性别,女
预测年龄段,18-19
预测年龄段,20-23
预测年龄段,24-30
预测年龄段,31-35
预测年龄段,36-40
预测年龄段,41-45
预测年龄段,46-50
预测年龄段,51-55
预测年龄段,56-59
预测年龄段,60+
地域分布,北京
地域分布,天津
地域分布,河北
地域分布,山西
地域分布,内蒙古
地域分布,辽宁
地域分布,吉林
地域分布,黑龙江
地域分布,上海
地域分布,江苏
地域分布,浙江
地域分布,安徽
地域分布,福建
地域分布,江西
地域分布,山东
地域分布,河南
地域分布,湖北
地域分布,湖南
地域分布,广东
地域分布,广西
地域分布,海南
地域分布,重庆
地域分布,四川
地域分布,贵州
地域分布,云南
地域分布,西藏
地域分布,陕西
地域分布,甘肃
地域分布,青海
地域分布,宁夏
地域分布,新疆
地域分布,台湾
地域分布,香港
地域分布,澳门
八大消费群体,新锐白领
八大消费群体,都市银发
八大消费群体,精致妈妈
八大消费群体,都市蓝领
八大消费群体,genz
八大消费群体,小镇青年
八大消费群体,资深中产
八大消费群体,小镇中老年
预测消费能力,低消费
预测消费能力,高消费
预测消费能力,中消费
手机品牌,360
手机品牌,苹果
手机品牌,华为
手机品牌,小米
手机品牌,三星
手机品牌,OPPO
手机品牌,vivo
手机品牌,魅族
手机品牌,金立
手机品牌,酷派
手机品牌,联想
手机品牌,乐视
手机品牌,中兴
手机品牌,中国移动
手机品牌,HTC
手机品牌,小辣椒
手机品牌,努比亚
手机品牌,海信
手机品牌,奇酷
手机品牌,索尼
手机品牌,锤子
手机品牌,一加
手机品牌,LG
手机品牌,摩托罗拉
手机品牌,诺基亚
手机品牌,谷歌
手机品牌,荣耀
预测人生阶段,二人世界
预测人生阶段,单身一族
预测人生阶段,家有儿女
预测职业,在校大学生
预测职业,职场白领
预测职业,基础服务业
预测职业,IT通讯科技
预测职业,教师
预测职业,公务员
手机价格,0~999
手机价格,1000~1999
手机价格,2000~2999
手机价格,3000~3999
手机价格,4000~4999
手机价格,5000~5999
手机价格,6000~6999
手机价格,7000~7999
手机价格,8000~8999
手机价格,9000~9999
手机价格,10000及以上
抖音活跃用户,高活跃_月活
抖音活跃用户,低活跃_月活
头条活跃用户,高活跃_月活
头条活跃用户,低活跃_月活
西瓜活跃用户,高活跃_月活
西瓜活跃用户,低活跃_月活
火山活跃用户,高活跃_月活
火山活跃用户,低活跃_月活
头条用户阅读兴趣分类,社会
头条用户阅读兴趣分类,娱乐
头条用户阅读兴趣分类,健康
头条用户阅读兴趣分类,国际
头条用户阅读兴趣分类,时政
头条用户阅读兴趣分类,汽车
头条用户阅读兴趣分类,两性
头条用户阅读兴趣分类,历史
头条用户阅读兴趣分类,教育
头条用户阅读兴趣分类,财经
头条用户阅读兴趣分类,美食
头条用户阅读兴趣分类,育儿
头条用户阅读兴趣分类,军事
头条用户阅读兴趣分类,传媒
头条用户阅读兴趣分类,科技
头条用户阅读兴趣分类,体育
头条用户阅读兴趣分类,时尚
头条用户阅读兴趣分类,文化
头条用户阅读兴趣分类,房产
头条用户阅读兴趣分类,旅游
抖音视频观看兴趣分类,拍摄
抖音视频观看兴趣分类,演绎
抖音视频观看兴趣分类,生活
抖音视频观看兴趣分类,亲子
抖音视频观看兴趣分类,美食
抖音视频观看兴趣分类,创意
抖音视频观看兴趣分类,汽车
抖音视频观看兴趣分类,影视
抖音视频观看兴趣分类,动植物
抖音视频观看兴趣分类,舞蹈
抖音视频观看兴趣分类,时尚
抖音视频观看兴趣分类,知识
抖音视频观看兴趣分类,运动
抖音视频观看兴趣分类,历史军事
抖音视频观看兴趣分类,二次元
抖音视频观看兴趣分类,科技
抖音视频观看兴趣分类,旅行
抖音视频观看兴趣分类,游戏
抖音视频观看兴趣分类,音乐
抖音视频观看兴趣分类,传统
抖音视频观看兴趣分类,鸡汤
抖音视频观看兴趣分类,拍摄_拍身体
抖音视频观看兴趣分类,拍摄_技术
抖音视频观看兴趣分类,拍摄_录屏
抖音视频观看兴趣分类,拍摄_随拍
抖音视频观看兴趣分类,拍摄_半身自拍
抖音视频观看兴趣分类,拍摄_全身自拍
抖音视频观看兴趣分类,拍摄_摄影
抖音视频观看兴趣分类,演绎_张嘴
抖音视频观看兴趣分类,演绎_访谈类
抖音视频观看兴趣分类,演绎_剧情短剧
抖音视频观看兴趣分类,生活_交通
抖音视频观看兴趣分类,生活_团体活动
抖音视频观看兴趣分类,生活_装潢
抖音视频观看兴趣分类,生活_生活探店2
抖音视频观看兴趣分类,生活_民生
抖音视频观看兴趣分类,生活_生活用品
抖音视频观看兴趣分类,生活_负面事件
抖音视频观看兴趣分类,生活_开箱
抖音视频观看兴趣分类,生活_日常活动
抖音视频观看兴趣分类,生活_棋牌
抖音视频观看兴趣分类,生活_生活探店
抖音视频观看兴趣分类,生活_证件类
抖音视频观看兴趣分类,生活_婚礼
抖音视频观看兴趣分类,亲子_儿童才艺表演
抖音视频观看兴趣分类,亲子_母婴
抖音视频观看兴趣分类,亲子_萌娃
抖音视频观看兴趣分类,美食_美食展示
抖音视频观看兴趣分类,美食_制作美食
抖音视频观看兴趣分类,美食_日常美食展示
抖音视频观看兴趣分类,创意_魔术类
抖音视频观看兴趣分类,创意_转笔类
抖音视频观看兴趣分类,创意_定格动画类
抖音视频观看兴趣分类,创意_特效类
抖音视频观看兴趣分类,创意_插花类
抖音视频观看兴趣分类,创意_贴纸道具
抖音视频观看兴趣分类,创意_沙画类
抖音视频观看兴趣分类,创意_手工类
抖音视频观看兴趣分类,创意_多米诺骨牌类
抖音视频观看兴趣分类,汽车_汽车体验
抖音视频观看兴趣分类,汽车_汽车科普
抖音视频观看兴趣分类,汽车_汽车展示
抖音视频观看兴趣分类,汽车_维修改装
抖音视频观看兴趣分类,汽车_其他车辆拍摄
抖音视频观看兴趣分类,影视_片场类
抖音视频观看兴趣分类,影视_电视剧电影
抖音视频观看兴趣分类,影视_明星类
抖音视频观看兴趣分类,影视_综艺类
抖音视频观看兴趣分类,影视_电影电视剧
抖音视频观看兴趣分类,动植物_非家养动物
抖音视频观看兴趣分类,动植物_萌宠
抖音视频观看兴趣分类,动植物_昆虫类
抖音视频观看兴趣分类,动植物_植物
抖音视频观看兴趣分类,动植物_家养动物
抖音视频观看兴趣分类,舞蹈_民族舞
抖音视频观看兴趣分类,舞蹈_日常舞蹈
抖音视频观看兴趣分类,舞蹈_专业舞蹈
抖音视频观看兴趣分类,舞蹈_手势舞类
抖音视频观看兴趣分类,时尚_美发
抖音视频观看兴趣分类,时尚_穿搭
抖音视频观看兴趣分类,时尚_美容
抖音视频观看兴趣分类,时尚_美妆
抖音视频观看兴趣分类,运动_竞技运动
抖音视频观看兴趣分类,运动_田径
抖音视频观看兴趣分类,运动_极限运动
抖音视频观看兴趣分类,运动_健身
抖音视频观看兴趣分类,运动_日常活动
抖音视频观看兴趣分类,运动_水上运动
抖音视频观看兴趣分类,运动_球类项目
抖音视频观看兴趣分类,运动_赛事
抖音视频观看兴趣分类,二次元_动画类
抖音视频观看兴趣分类,二次元_漫画类
抖音视频观看兴趣分类,二次元_二次元衍生
抖音视频观看兴趣分类,二次元_Coser
抖音视频观看兴趣分类,科技_电子产品
抖音视频观看兴趣分类,旅行_风景
抖音视频观看兴趣分类,旅行_旅行攻略
抖音视频观看兴趣分类,旅行_住宿酒店
抖音视频观看兴趣分类,游戏_角色扮演
抖音视频观看兴趣分类,游戏_休闲类
抖音视频观看兴趣分类,游戏_益智类游戏
抖音视频观看兴趣分类,游戏_射击游戏
抖音视频观看兴趣分类,游戏_体育类
抖音视频观看兴趣分类,游戏_动作游戏
抖音视频观看兴趣分类,游戏_竞技游戏
抖音视频观看兴趣分类,游戏_解说游戏
抖音视频观看兴趣分类,游戏_策略类
抖音视频观看兴趣分类,游戏_卡牌游戏
抖音视频观看兴趣分类,游戏_棋牌类
抖音视频观看兴趣分类,游戏_游戏其他
抖音视频观看兴趣分类,游戏_吃鸡类
抖音视频观看兴趣分类,游戏_节奏类
抖音视频观看兴趣分类,游戏_小游戏
抖音视频观看兴趣分类,游戏_模拟养成
抖音视频观看兴趣分类,音乐_唱歌
抖音视频观看兴趣分类,音乐_西洋乐器
抖音视频观看兴趣分类,音乐_编曲
抖音视频观看兴趣分类,音乐_民族乐器
西瓜视频观看兴趣分类,影视
西瓜视频观看兴趣分类,搞笑
西瓜视频观看兴趣分类,社会
西瓜视频观看兴趣分类,动物
西瓜视频观看兴趣分类,美食
西瓜视频观看兴趣分类,音乐
西瓜视频观看兴趣分类,三农
西瓜视频观看兴趣分类,娱乐
西瓜视频观看兴趣分类,游戏
西瓜视频观看兴趣分类,亲子
西瓜视频观看兴趣分类,体育
西瓜视频观看兴趣分类,综艺
西瓜视频观看兴趣分类,少儿
西瓜视频观看兴趣分类,军事
西瓜视频观看兴趣分类,汽车
西瓜视频观看兴趣分类,宠物
西瓜视频观看兴趣分类,健康
西瓜视频观看兴趣分类,时尚
西瓜视频观看兴趣分类,生活
西瓜视频观看兴趣分类,情感
电商品类成交偏好,洗护清洁剂卫生巾纸香薰
电商品类成交偏好,个人护理
电商品类成交偏好,零食坚果特产
电商品类成交偏好,内衣裤袜
电商品类成交偏好,男装
电商品类成交偏好,粮油米面南北干货调味品
电商品类成交偏好,家庭个人清洁工具
电商品类成交偏好,3C数码配件
电商品类成交偏好,女装
电商品类成交偏好,居家日用
电商品类成交偏好,水果蔬菜
电商品类成交偏好,美容护肤
电商品类成交偏好,咖啡麦片冲饮
电商品类成交偏好,彩妆香水美妆工具
电商品类成交偏好,收纳整理
电商品类成交偏好,餐饮具
电商品类成交偏好,居家布艺
电商品类成交偏好,时尚饰品
电商品类成交偏好,厨房烹饪用具
电商品类成交偏好,汽车用品
电商品类成交偏好,服饰配件皮带帽子围巾
电商品类成交偏好,女鞋
电商品类成交偏好,肉蛋低温制品
电商品类成交偏好,家居饰品
电商品类成交偏好,书籍杂志报纸
电商品类成交偏好,玩具童车益智积木模型
电商品类成交偏好,学习用品
电商品类成交偏好,床上用品
电商品类成交偏好,童装婴儿装亲子装
电商品类成交偏好,运动瑜伽健身球迷用品
电商品类成交偏好,男鞋
电商品类成交偏好,鲜花速递花卉仿真绿植园艺
电商品类成交偏好,婴童用品
电商品类成交偏好,户外登山野营旅行用品
电商品类成交偏好,箱包
电商品类成交偏好,运动鞋
电商品类成交偏好,保健食品膳食营养补充食品
电商品类成交偏好,打火机瑞士军刀眼镜
电商品类成交偏好,个人保健护理电器
电商品类成交偏好,五金工具
电商品类成交偏好,海鲜水产
电商品类成交偏好,运动服休闲服装
电商品类成交偏好,基础建材
电商品类成交偏好,厨房电器
电商品类成交偏好,传统滋补营养品
电商品类成交偏好,茶
电商品类成交偏好,农用物资
电商品类成交偏好,宠物宠物食品及用品
电商品类成交偏好,生活电器
电商品类成交偏好,影音电器
电商品类成交偏好,移动联通电信充值中心
电商品类成交偏好,住宅家具
电商品类成交偏好,童鞋婴儿鞋亲子鞋
电商品类成交偏好,酒类
电商品类成交偏好,运动包户外包配件
电商品类成交偏好,电动车配件交通工具
电商品类成交偏好,家装主材
电商品类成交偏好,汽车零配件
电商品类成交偏好,医疗器械
电商品类成交偏好,购物提货券
电商品类成交偏好,孕产妇服纺用品营养
电商品类成交偏好,模玩动漫周边娃圈三坑桌游
电商品类成交偏好,文玩木作书画钱币
电商品类成交偏好,自行车骑行装备零配件
电商品类成交偏好,节庆用品文创
电商品类成交偏好,药品
电商品类成交偏好,家装灯饰光源
电商品类成交偏好,翡翠和田玉琥珀蜜蜡其他玉石
电商品类成交偏好,陶瓷紫砂建盏茶周边
电商品类成交偏好,智能设备
电商品类成交偏好,美容美体医疗器械
电商品类成交偏好,摩托车装备配件
电商品类成交偏好,黄金彩宝钻石珍珠
电商品类成交偏好,奶粉辅食营养品零食
电商品类成交偏好,手机
电商品类成交偏好,生活娱乐充值
电商品类成交偏好,电子电工
电商品类成交偏好,婴童尿裤
电商品类成交偏好,办公用品办公设备耗材相关服务
电商品类成交偏好,网络设备网络相关
电商品类成交偏好,电脑外设
电商品类成交偏好,大家电
电商品类成交偏好,钟表类
电商品类成交偏好,游戏服务
电商品类成交偏好,儿童床品家纺
电商品类成交偏好,手机号码套餐增值业务
电商品类成交偏好,全屋智能
电商品类成交偏好,计生用品
电商品类成交偏好,农机农具农膜
电商品类成交偏好,金属材料及制品
电商品类成交偏好,手工艺非遗技艺
电商品类成交偏好,畜牧养殖物资
电商品类成交偏好,教育培训
电商品类成交偏好,成人用品情趣用品
电商品类成交偏好,电子教育
电商品类成交偏好,包装
电商品类成交偏好,乐器吉他钢琴配件
电商品类成交偏好,商业办公家具
电商品类成交偏好,数码存储设备
电商品类成交偏好,电子元器件市场
电商品类成交偏好,美容个护仪器
电商品类成交偏好,平板电脑MID
电商品类成交偏好,摄影摄像
电商品类成交偏好,电玩配件游戏攻略
电商品类成交偏好,橡塑材料及制品
电商品类成交偏好,电脑组件
电商品类成交偏好,机械设备
电商品类成交偏好,笔记本电脑
电商品类成交偏好,二手奢侈品
电商品类成交偏好,清洗食品商业设备
电商品类成交偏好,DIY电脑
电商品类成交偏好,全屋定制
电商品类成交偏好,标准件零部件工业耗材
电商品类成交偏好,教育音像
电商品类成交偏好,珠宝文玩收藏品（定制专用）
电商品类成交偏好,保险
电商品类成交偏好,装修设计施工监理
电商品类成交偏好,本地生活服务
电商品类成交偏好,品牌台机品牌一体机服务器
电商品类成交偏好,文物商店拍卖行
电商品类成交偏好,润滑胶粘试剂实验室耗材
电商品类成交偏好,奢侈品
电商品类成交偏好,潮品鞋服（鉴真）
电商品类成交偏好,医疗及健康服务
电商品类成交偏好,二手百货
电商品类成交偏好,新车
电商品类成交偏好,康养器械
